sim_time_sec,abs_time,id,tracks,latitude,longitude
0.2,06:00:00,2601,"{}",35.07357,129.097719
0.2,06:00:00,2602,"{}",35.068494,129.099061
1,06:00:01,2601,"{}",35.073534,129.097729
1,06:00:01,2602,"{}",35.068494,129.099061
2,06:00:02,2601,"{}",35.073489,129.097742
2,06:00:02,2602,"{}",35.068494,129.099061
3,06:00:03,2601,"{}",35.073444,129.097754
3,06:00:03,2602,"{}",35.068494,129.099061
4,06:00:04,2601,"{}",35.073399,129.097767
4,06:00:04,2602,"{}",35.068494,129.099061
5,06:00:05,2601,"{}",35.073353,129.097779
5,06:00:05,2602,"{}",35.068494,129.099061
6,06:00:06,2601,"{}",35.073308,129.097792
6,06:00:06,2602,"{}",35.068494,129.099061
7,06:00:07,2601,"{}",35.073263,129.097804
7,06:00:07,2602,"{}",35.068494,129.099061
8,06:00:08,2601,"{}",35.073218,129.097817
8,06:00:08,2602,"{}",35.068494,129.099061
9,06:00:09,2601,"{}",35.073173,129.097829
9,06:00:09,2602,"{}",35.068494,129.099061
10,06:00:10,2601,"{}",35.073128,129.097842
10,06:00:10,2602,"{}",35.068494,129.099061
11,06:00:11,2601,"{}",35.073083,129.097855
11,06:00:11,2602,"{}",35.068494,129.099061
12,06:00:12,2601,"{}",35.073038,129.097867
12,06:00:12,2602,"{}",35.068494,129.099061
13,06:00:13,2601,"{}",35.072993,129.09788
13,06:00:13,2602,"{}",35.068494,129.099061
14,06:00:14,2601,"{}",35.072947,129.097892
14,06:00:14,2602,"{}",35.068494,129.099061
15,06:00:15,2601,"{}",35.072902,129.097905
15,06:00:15,2602,"{}",35.068494,129.099061
16,06:00:16,2601,"{}",35.072857,129.097917
16,06:00:16,2602,"{}",35.068494,129.099061
17,06:00:17,2601,"{}",35.072812,129.09793
17,06:00:17,2602,"{}",35.068494,129.099061
18,06:00:18,2601,"{}",35.072767,129.097942
18,06:00:18,2602,"{}",35.068494,129.099061
19,06:00:19,2601,"{}",35.072722,129.097955
19,06:00:19,2602,"{}",35.068494,129.099061
20,06:00:20,2601,"{}",35.072677,129.097967
20,06:00:20,2602,"{}",35.068494,129.099061
21,06:00:21,2601,"{}",35.072632,129.09798
21,06:00:21,2602,"{}",35.068494,129.099061
22,06:00:22,2601,"{}",35.072587,129.097993
22,06:00:22,2602,"{}",35.068494,129.099061
23,06:00:23,2601,"{}",35.072541,129.098005
23,06:00:23,2602,"{}",35.068494,129.099061
24,06:00:24,2601,"{}",35.072496,129.098018
24,06:00:24,2602,"{}",35.068494,129.099061
25,06:00:25,2601,"{}",35.072451,129.09803
25,06:00:25,2602,"{}",35.068494,129.099061
26,06:00:26,2601,"{}",35.072406,129.098043
26,06:00:26,2602,"{}",35.068494,129.099061
27,06:00:27,2601,"{}",35.072361,129.098055
27,06:00:27,2602,"{}",35.068494,129.099061
28,06:00:28,2601,"{}",35.072316,129.098068
28,06:00:28,2602,"{}",35.068494,129.099061
29,06:00:29,2601,"{}",35.072271,129.09808
29,06:00:29,2602,"{}",35.068494,129.099061
30,06:00:30,2601,"{}",35.072226,129.098093
30,06:00:30,2602,"{}",35.068494,129.099061
31,06:00:31,2601,"{}",35.072181,129.098105
31,06:00:31,2602,"{}",35.068494,129.099061
32,06:00:32,2601,"{}",35.072135,129.098118
32,06:00:32,2602,"{}",35.068494,129.099061
33,06:00:33,2601,"{}",35.07209,129.098131
33,06:00:33,2602,"{}",35.068494,129.099061
34,06:00:34,2601,"{}",35.072045,129.098143
34,06:00:34,2602,"{}",35.068494,129.099061
35,06:00:35,2601,"{}",35.072,129.098156
35,06:00:35,2602,"{}",35.068494,129.099061
36,06:00:36,2601,"{}",35.071955,129.098168
36,06:00:36,2602,"{}",35.068494,129.099061
37,06:00:37,2601,"{}",35.07191,129.098181
37,06:00:37,2602,"{}",35.068494,129.099061
38,06:00:38,2601,"{}",35.071865,129.098193
38,06:00:38,2602,"{}",35.068494,129.099061
39,06:00:39,2601,"{}",35.07182,129.098206
39,06:00:39,2602,"{}",35.068494,129.099061
40,06:00:40,2601,"{}",35.071775,129.098218
40,06:00:40,2602,"{}",35.068494,129.099061
41,06:00:41,2601,"{}",35.071729,129.098231
41,06:00:41,2602,"{}",35.068494,129.099061
42,06:00:42,2601,"{}",35.071684,129.098243
42,06:00:42,2602,"{}",35.068494,129.099061
43,06:00:43,2601,"{}",35.071639,129.098256
43,06:00:43,2602,"{}",35.068494,129.099061
44,06:00:44,2601,"{}",35.071594,129.098269
44,06:00:44,2602,"{}",35.068494,129.099061
45,06:00:45,2601,"{}",35.071549,129.098281
45,06:00:45,2602,"{}",35.068494,129.099061
46,06:00:46,2601,"{}",35.071504,129.098294
46,06:00:46,2602,"{}",35.068494,129.099061
47,06:00:47,2601,"{}",35.071459,129.098306
47,06:00:47,2602,"{}",35.068494,129.099061
48,06:00:48,2601,"{}",35.071414,129.098319
48,06:00:48,2602,"{}",35.068494,129.099061
49,06:00:49,2601,"{}",35.071369,129.098331
49,06:00:49,2602,"{}",35.068494,129.099061
50,06:00:50,2601,"{}",35.071323,129.098344
50,06:00:50,2602,"{}",35.068494,129.099061
51,06:00:51,2601,"{}",35.071278,129.098356
