sim_time_sec,abs_time,id,platform_id,bearing,latitude,longitude,tracks
0.2,06:00:00,12101,2101,167.18,35.070939,129.09845,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
0.2,06:00:00,11201,1201,169.76,35.07096,129.097782,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
0.2,06:00:00,11101,1101,170.33,35.071113,129.098215,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
0.2,06:00:00,12102,2102,0,35.071192,129.099061,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
0.2,06:00:00,11301,1301,0,35.071419,129.099099,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
0.2,06:00:00,11102,1102,0,35.071076,129.098801,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
0.2,06:00:00,12201,2201,0,35.066049,129.086307,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
0.2,06:00:00,12202,2202,0,35.065294,129.086486,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
1,06:00:01,12101,2101,167.18,35.070903,129.09846,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
1,06:00:01,11201,1201,169.76,35.070924,129.09779,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
1,06:00:01,11101,1101,227.33,35.071089,129.098181,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
1,06:00:01,12102,2102,0,35.071192,129.099061,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
1,06:00:01,11301,1301,0,35.071419,129.099099,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
1,06:00:01,11102,1102,0,35.071076,129.098801,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
1,06:00:01,12201,2201,0,35.066049,129.086307,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
1,06:00:01,12202,2202,0,35.065294,129.086486,"{""track_001"":{""latitude"":35.045927,""longitude"":129.126671},""track_002"":{""latitude"":35.066189,""longitude"":129.138792}}"
