sim_time_sec,abs_time,id,tracks,altitude,latitude,longitude,speed
675,06:11:15,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.062995,129.098965,40
676,06:11:16,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.063196,129.09933,40
677,06:11:17,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.063396,129.099695,40
678,06:11:18,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.063597,129.100059,40
679,06:11:19,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.063797,129.100424,40
680,06:11:20,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.063998,129.100789,40
681,06:11:21,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.064199,129.101154,40
682,06:11:22,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.064399,129.101519,40
683,06:11:23,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.0646,129.101883,40
684,06:11:24,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.0648,129.102248,40
685,06:11:25,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.065001,129.102613,40
686,06:11:26,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.065201,129.102978,40
687,06:11:27,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.065402,129.103343,40
688,06:11:28,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.065603,129.103708,40
689,06:11:29,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.065803,129.104072,40
690,06:11:30,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.066004,129.104437,40
691,06:11:31,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.066204,129.104802,40
692,06:11:32,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.066405,129.105167,40
693,06:11:33,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.066606,129.105532,40
694,06:11:34,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.066806,129.105897,40
695,06:11:35,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.067007,129.106261,40
696,06:11:36,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.067207,129.106626,40
697,06:11:37,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.067408,129.106991,40
698,06:11:38,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.067608,129.107356,40
699,06:11:39,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.067809,129.107721,40
700,06:11:40,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.06801,129.108086,40
701,06:11:41,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.06821,129.108451,40
702,06:11:42,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.068411,129.108815,40
703,06:11:43,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.068611,129.10918,40
704,06:11:44,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.068812,129.109545,40
705,06:11:45,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.069012,129.10991,40
706,06:11:46,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.069213,129.110275,40
707,06:11:47,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.069414,129.11064,40
708,06:11:48,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.069454,129.110713,40
709,06:11:49,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.069454,129.110713,40
710,06:11:50,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.069454,129.110713,40
711,06:11:51,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.069454,129.110713,40
712,06:11:52,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.069454,129.110713,40
713,06:11:53,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.069454,129.110713,40
714,06:11:54,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.069454,129.110713,40
715,06:11:55,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.069454,129.110713,40
716,06:11:56,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.069454,129.110713,40
717,06:11:57,2401,"{""track_001"":{""latitude"":35.059764,""longitude"":129.103713},""track_002"":{""latitude"":35.069933,""longitude"":129.111585}}",200,35.069454,129.110713,40
